Annual FOIA Report Raw Data Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Exemption 3 Statutes,,,Dates (mm/dd/yy),,,,,Disposition,,,Appeal,,,Reason for Denial on Appeal - Reason(s) ,,,Request for Expedited Processing,,,,Request for Fee Waiver,,,,,
Component/Office,Request Number,Is This A Consultation? (Y/N),Days Allowed,Statute Citation(s),Type(s) of Information Withheld,Case Citation(s),Initially Received,Perfected,Completed,Days Tolled,Track,Reason,"Disposition ""Other"" Reason",Exemption(s) Applied,Date Received ,Date Closed ,Disposition,Reason(s),"""Other"" Reason(s)",Exemption(s) Applied,Date Received,Date of Determination,Number of Days to Adjudicate,Granted / Denied,Date Adjudication Began,Date Adjudication Completed,Number of Days to Adjudicate,Granted / Denied,Amount of Fees Collected,
USAB ,2024-01,N,,N/A,n/a,n/a,10/23/2023,10/31/2023,10/31/2023,0,6,Full Denial Other-- No Records,No Records,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-02,N,,N/A,n/a,n/a,10/23/2023,11/7/2023,11/7/2023,0,11,Full Grant,,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-03,N,,N/A,n/a,n/a,10/23/2023,10/31/2023,10/31/2023,0,6,Full Denial Other-- No Records,No Records,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-04,N,,N/A,n/a,n/a,10/25/2023,11/7/2023,11/7/2023,0,9,Full Grant,,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-05,N,,N/A,n/a,n/a,10/30/2023,10/31/2023,10/31/2023,0,1,Full Grant,,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-06,N,,N/A,n/a,n/a,10/31/2023,11/3/2023,11/3/2023,0,3,Full Denial Other-- No Records,,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-07,N,,N/A,n/a,n/a,11/6/2023,11/22/2023,11/22/2023,0,11,Partial Grant/Denial,,(b)(6) ,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-08,N,,N/A,n/a,n/a,11/6/2023,11/6/2023,11/6/2023,0,1,Full Denial Other-- No Records,No Records,(b)(6),N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-09,N,,N/A,n/a,n/a,11/13/2023,11/22/2023,11/22/2023,0,7,Full Denial Other-- No Records,No Records,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-10,N,,N/A,n/a,n/a,12/11/2023,5/2/2024,5/2/2024,0,143,Full Denial Other-- No Records,No Records,n/a,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-11,N,,N/A,n/a,n/a,12/11/2023,5/2/2024,5/2/2024,0,143,Full Denial Other-- No Records,No Records,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2024-12,N,,N/A,n/a,n/a,1/4/2024,2/8/2024,2/8/2024,0,24,Partial Grant/Denial,,(b)(6) ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
