Annual FOIA Report Raw Data Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Exemption 3 Statutes,,,Dates (mm/dd/yy),,,,,Disposition,,,Appeal,,,Reason for Denial on Appeal - Reason(s) ,,,Request for Expedited Processing,,,,Request for Fee Waiver,,,,,
Component/Office,Request Number,Is This A Consultation? (Y/N),Days Allowed,Statute Citation(s),Type(s) of Information Withheld,Case Citation(s),Initially Received,Perfected,Completed,Days Tolled,Track,Reason,"Disposition ""Other"" Reason",Exemption(s) Applied,Date Received ,Date Closed ,Disposition,Reason(s),"""Other"" Reason(s)",Exemption(s) Applied,Date Received,Date of Determination,Number of Days to Adjudicate,Granted / Denied,Date Adjudication Began,Date Adjudication Completed,Number of Days to Adjudicate,Granted / Denied,Amount of Fees Collected,
USAB ,2025-01,N,20,N/A,n/a,n/a,10/22/2024,10/22/2024,11/20/2024,0,Simple ,Full Grant,N/A,N/A,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2025-02,N,20,N/A,n/a,n/a,11/15/2024,11/15/2024,12/12/2024,0,Simple ,Partial Grant/Denial,N/A,(b)(6),N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2025-03,N,20,N/A,n/a,n/a,11/27/2024,11/27/2024,12/16/2024,0,Simple ,Partial Grant/Denial,N/A,(b)(6),N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2025-04,N,20,5 U.S.C. § 13109(a)(2),Confidential financial disclosure report pertaining to certain government employees,"Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Att’ys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).",12/26/2024,12/26/2024,1/8/2025,0,Simple ,Full Grant,N/A,(b)(3),N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2025-05,N,20,N/A,n/a,n/a,12/30/2024,12/30/2024,,0,Simple ,Full Denial Other*,Other (chart),,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2025-06,N,20,N/A,n/a,n/a,1/3/2025,1/3/2025,1/28/2025,0,Simple ,Full Grant,N/A,,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2025-07,N,20,N/A,n/a,n/a,1/6/2025,1/6/2025,1/28/2025,0,Simple ,Full Grant,N/A,,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2025-08,N,20,N/A,n/a,n/a,1/7/2025,1/7/2025,1/14/2025,0,Simple ,Full Denial Other*,No Records,,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
USAB ,2025-09,N,20,N/A,n/a,n/a,2/10/2025,2/10/2025,3/12/2025,0,Simple ,Full Grant,N/A,,N/A,N/A,N/A,N/A,n/a,N/A,n/A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
